OrgUnit_ID,OrgUnit_Code,Facility,Country,Country_Code,County,County_Code,SubCounty,SubCounty_Code,Ward,Ward_Code
ssVO2bxvHtv,25776,AGC Ngoron dispensary,Kenya,KE,Baringo County,KE_County_30,Tiaty West Sub County,KE_SubCounty_3253,Tirioko Ward,KE_Ward_781
Js2jIKhWf6P,17582,AIC Ebenezer,Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kabarnet Ward,KE_Ward_793
sTUhy2GeK9G,26322,Acacia Medical Clinic,Kenya,KE,Baringo County,KE_County_30,Tiaty East Sub County,KE_SubCounty_2958,Tangulbei/Korossi Ward,KE_Ward_786
exJWm58Qgyt,32390,Adomeyon Dispensary,Kenya,KE,Baringo County,KE_County_30,Tiaty East Sub County,KE_SubCounty_2958,Loiyamorok Ward,KE_Ward_785
ES1vXopOipl,24539,Afya Kabel Medical Clinic,Kenya,KE,Baringo County,KE_County_30,Marigat Sub County,KE_SubCounty_2955,Mochongoi Ward,KE_Ward_800
Q2jhsxobzBU,34062,"Aga Khan Medical Center, Kabarnet",Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kabarnet Ward,KE_Ward_793
C0eGXaSEHiP,14193,Aiyebo Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Saimoi/Kipsaraman Ward,KE_Ward_790
zEoEobhgPXc,20481,Akorian Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Saimo/Soi Ward,KE_Ward_791
npMa6l8gFOy,20457,Akwichatis Health Centre,Kenya,KE,Baringo County,KE_County_30,Tiaty East Sub County,KE_SubCounty_2958,Silale Ward,KE_Ward_784
evhFdNQo8bW,26578,Alicent Medical Centre,Kenya,KE,Baringo County,KE_County_30,Mogotio Sub County,KE_SubCounty_2954,Mogotio Ward,KE_Ward_802
BhFbEuA3lZ5,19321,Alpha Medical Clinic (Koibatek),Kenya,KE,Baringo County,KE_County_30,Koibatek Sub County,KE_SubCounty_2953,Ravine Ward,KE_Ward_807
okO6j4SE323,27137,Alphil Medical  Centre(Baringo),Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kapropita Ward,KE_Ward_797
meW9wZL2Vx9,25169,Alphil Medical Centre Limited,Kenya,KE,Baringo County,KE_County_30,Marigat Sub County,KE_SubCounty_2955,Mochongoi Ward,KE_Ward_800
HPFo1QW4oLC,14211,Arama Dispensary,Kenya,KE,Baringo County,KE_County_30,Koibatek Sub County,KE_SubCounty_2953,Lembus Kwen Ward,KE_Ward_806
mFfNCikLgni,14220,Atiar Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Bartabwa Ward,KE_Ward_792
nx8rAlWU0hn,20475,Ayatya Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Barwessa Ward,KE_Ward_788
ueajbPgItSt,24323,Barbarchun Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Bartabwa Ward,KE_Ward_792
no3Q20FkJYs,20968,Baringo County Beyond Zero Mobile Clinic,Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kabarnet Ward,KE_Ward_793
NcCkDlIqJuM,14607,Baringo County Referral Hospital,Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kabarnet Ward,KE_Ward_793
AwVQ3uJftlj,17352,Barnet Memorial Hospital,Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kabarnet Ward,KE_Ward_793
HXJMJmTVPUt,14235,Barpello Dispensary,Kenya,KE,Baringo County,KE_County_30,Tiaty West Sub County,KE_SubCounty_3253,Kolowa Ward,KE_Ward_782
R6ifURdugzN,17056,Barsemoi dispensary,Kenya,KE,Baringo County,KE_County_30,Marigat Sub County,KE_SubCounty_2955,Marigat Ward,KE_Ward_798
R5ojZThWuJk,14241,Bartabwa Health Centre,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Bartabwa Ward,KE_Ward_792
Jvhg2C1eQ8L,14242,Bartolimo Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Saimoi/Kipsaraman Ward,KE_Ward_790
KilcfFNdFJA,14243,Barwessa Health Centre,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Barwessa Ward,KE_Ward_788
pTlrkLDOyAx,14246,Bekibon Dispensary,Kenya,KE,Baringo County,KE_County_30,Marigat Sub County,KE_SubCounty_2955,Marigat Ward,KE_Ward_798
POzNBYNzLLo,26325,Benonin Dispensary,Kenya,KE,Baringo County,KE_County_30,Koibatek Sub County,KE_SubCounty_2953,Ravine Ward,KE_Ward_807
GshtdFVjHgT,26521,Biretuwonin Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Saimo/Soi Ward,KE_Ward_791
MgEAoZrPGni,23930,Bliss GVS Health Care (Eldama Ravine),Kenya,KE,Baringo County,KE_County_30,Koibatek Sub County,KE_SubCounty_2953,Ravine Ward,KE_Ward_807
DMF5wWYxVHg,14269,Borrowonin Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo Central Sub County,KE_SubCounty_2956,Kapropita Ward,KE_Ward_797
WN8SWfDASte,14270,Bossei Dispensary,Kenya,KE,Baringo County,KE_County_30,Baringo North Sub County,KE_SubCounty_2957,Kabartonjo Ward,KE_Ward_789
a2YRxZ59mLY,14292,Cheberen Dispensary,Kenya,KE,Baringo County,KE_County_30,Mogotio Sub County,KE_SubCounty_2954,Emining Ward,KE_Ward_803
IE9dGnb7S7h,20436,Chemasusu Dispensary,Kenya,KE,Baringo County,KE_County_30,Koibatek Sub County,KE_SubCounty_2953,Lembus Kwen Ward,KE_Ward_806
EYS2C6J7ram,17095,Chemoinoi Dispensary,Kenya,KE,Baringo County,KE_County_30,Mogotio Sub County,KE_SubCounty_2954,Emining Ward,KE_Ward_803
